---------------------------------------------------------------------------------------------------------------
Report log for 05-01-2017 for Unit ID 705392
---------------------------------------------------------------------------------------------------------------
000: ? 2017/01/05 11:48:34, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 1, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/05 19:02:59, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 2, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/05 19:03:42, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 2, MSN: 2, Max X:-38, Max Y:-6, Max Z:0, Start Speed:44, End Speed:17, Timer:3492
000: ? 2017/01/05 19:05:11, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 4, Max X:-23, Max Y:1, Max Z:0, Start Speed:56, End Speed:45, Timer:1702
000: ? 2017/01/05 19:05:24, (0x09)U2H.MANEUVER -  Accelerate while in turn (43), Strength:1, SSN: 2, MSN: 5, Max X:13, Max Y:-17, Max Z:0, Start Speed:24, End Speed:33, Timer:6061
000: ? 2017/01/05 19:05:32, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:3, SSN: 2, MSN: 6, Max X:46, Max Y:-2, Max Z:0, Start Speed:42, End Speed:53, Timer:3788
000: ? 2017/01/05 19:07:25, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 2, MSN: 8, Max X:-49, Max Y:0, Max Z:0, Start Speed:44, End Speed:5, Timer:2264
000: ? 2017/01/05 19:07:43, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:1, SSN: 2, MSN: 9, Max X:26, Max Y:1, Max Z:0, Start Speed:15, End Speed:31, Timer:2724
000: ? 2017/01/05 19:07:47, (0x09)U2H.MANEUVER -  Turning (55), Strength:1, SSN: 2, MSN: 10, Max X:7, Max Y:-31, Max Z:0, Start Speed:31, End Speed:36, Timer:2141
000: ? 2017/01/05 19:07:53, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 2, MSN: 11, Max X:-2, Max Y:-37, Max Z:0, Start Speed:38, End Speed:35, Timer:5681
000: ? 2017/01/05 19:07:58, (0x09)U2H.MANEUVER -  Accelerate while in turn (41), Strength:3, SSN: 2, MSN: 12, Max X:15, Max Y:35, Max Z:0, Start Speed:39, End Speed:45, Timer:2052
000: ? 2017/01/05 19:09:23, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 13, Max X:-21, Max Y:-5, Max Z:0, Start Speed:75, End Speed:58, Timer:2455
000: ? 2017/01/05 19:09:29, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 14, Max X:-23, Max Y:0, Max Z:0, Start Speed:51, End Speed:5, Timer:4160
000: ? 2017/01/05 19:09:59, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:3, SSN: 2, MSN: 15, Max X:39, Max Y:-10, Max Z:0, Start Speed:53, End Speed:65, Timer:2775
000: ? 2017/01/05 19:11:39, (0x09)U2H.MANEUVER -  Speed event START (65530), Strength:2, SSN: 2, MSN: 16, Max X:0, Max Y:0, Max Z:0, Start Speed:131, End Speed:0, Timer:0
000: ? 2017/01/05 19:11:47, (0x09)U2H.MANEUVER -  Speed event END (65529), Strength:2, SSN: 2, MSN: 17, Max X:0, Max Y:0, Max Z:0, Start Speed:0, End Speed:134, Timer:0
000: ? 2017/01/05 19:13:54, (0x09)U2H.MANEUVER -  Speed event START (65530), Strength:2, SSN: 2, MSN: 18, Max X:0, Max Y:0, Max Z:0, Start Speed:130, End Speed:0, Timer:0
000: ? 2017/01/05 19:14:10, (0x09)U2H.MANEUVER -  Speed event END (65529), Strength:2, SSN: 2, MSN: 19, Max X:0, Max Y:0, Max Z:0, Start Speed:0, End Speed:133, Timer:0
000: ? 2017/01/05 19:17:12, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 20, Max X:-24, Max Y:0, Max Z:0, Start Speed:56, End Speed:1, Timer:6574
000: ? 2017/01/05 19:19:40, (0x09)U2H.MANEUVER -  Speed event START (65530), Strength:2, SSN: 2, MSN: 21, Max X:0, Max Y:0, Max Z:0, Start Speed:130, End Speed:0, Timer:0
000: ? 2017/01/05 19:19:49, (0x09)U2H.MANEUVER -  Speed event END (65529), Strength:2, SSN: 2, MSN: 22, Max X:0, Max Y:0, Max Z:0, Start Speed:0, End Speed:133, Timer:0
000: ? 2017/01/05 19:30:58, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 23, Max X:-20, Max Y:9, Max Z:0, Start Speed:60, End Speed:55, Timer:1112
000: ? 2017/01/05 19:31:02, (0x09)U2H.MANEUVER -  Braking while exiting turn (75), Strength:1, SSN: 2, MSN: 24, Max X:-12, Max Y:26, Max Z:0, Start Speed:55, End Speed:39, Timer:2721
000: ? 2017/01/05 19:33:12, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 26, Max X:-34, Max Y:0, Max Z:0, Start Speed:46, End Speed:7, Timer:2798
000: ? 2017/01/05 19:33:35, (0x09)U2H.MANEUVER -  Turning (53), Strength:1, SSN: 2, MSN: 27, Max X:-4, Max Y:29, Max Z:0, Start Speed:30, End Speed:28, Timer:1198
000: ? 2017/01/05 19:34:24, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 28, Max X:-25, Max Y:-2, Max Z:0, Start Speed:56, End Speed:38, Timer:1119
000: ? 2017/01/05 19:34:29, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 29, Max X:-27, Max Y:-7, Max Z:0, Start Speed:38, End Speed:6, Timer:3640
000: ? 2017/01/05 19:35:43, (0x09)U2H.MANEUVER -  Accelerate while in turn (43), Strength:3, SSN: 2, MSN: 30, Max X:18, Max Y:-33, Max Z:0, Start Speed:13, End Speed:31, Timer:2960
000: ? 2017/01/05 19:36:08, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 31, Max X:-31, Max Y:-4, Max Z:0, Start Speed:42, End Speed:16, Timer:2639
000: ? 2017/01/05 19:36:38, (0x09)U2H.MANEUVER -  Turning (53), Strength:1, SSN: 2, MSN: 32, Max X:0, Max Y:32, Max Z:0, Start Speed:21, End Speed:21, Timer:2520
000: ? 2017/01/05 19:39:07, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 2, MSN: 33, Valid GPS Samples:2130, Max Y:0, Avg. Voltage On:0, No Motion Timer:116, Distance: 436, Max Voltage:0
---------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------
Report log for 06-01-2017 for Unit ID 705392
---------------------------------------------------------------------------------------------------------------
000: ? 2017/01/06 15:43:45, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 3, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/06 15:44:36, (0x09)U2H.MANEUVER -  Accelerate while in turn (43), Strength:3, SSN: 3, MSN: 2, Max X:26, Max Y:-36, Max Z:0, Start Speed:13, End Speed:21, Timer:1993
000: ? 2017/01/06 15:45:14, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 3, MSN: 3, Max X:-27, Max Y:0, Max Z:0, Start Speed:20, End Speed:6, Timer:1000
000: ? 2017/01/06 15:46:10, (0x09)U2H.MANEUVER -  Accelerate while exiting turn (69), Strength:1, SSN: 3, MSN: 4, Max X:7, Max Y:28, Max Z:0, Start Speed:19, End Speed:22, Timer:1159
000: ? 2017/01/06 15:47:46, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 3, MSN: 5, Max X:-46, Max Y:5, Max Z:0, Start Speed:58, End Speed:7, Timer:5001
000: ? 2017/01/06 15:49:43, (0x09)U2H.MANEUVER -  Braking into turn (35), Strength:1, SSN: 3, MSN: 6, Max X:-20, Max Y:23, Max Z:0, Start Speed:33, End Speed:20, Timer:2399
000: ? 2017/01/06 15:49:45, (0x09)U2H.MANEUVER -  Turning (53), Strength:1, SSN: 3, MSN: 7, Max X:6, Max Y:33, Max Z:0, Start Speed:20, End Speed:22, Timer:1313
000: ? 2017/01/06 15:51:13, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 3, MSN: 8, Max X:-29, Max Y:10, Max Z:0, Start Speed:56, End Speed:44, Timer:1882
000: ? 2017/01/06 15:52:14, (0x09)U2H.MANEUVER -  Braking into turn (35), Strength:3, SSN: 3, MSN: 9, Max X:-29, Max Y:19, Max Z:0, Start Speed:46, End Speed:22, Timer:4520
000: ? 2017/01/06 15:54:56, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 3, MSN: 10, Valid GPS Samples:648, Max Y:0, Avg. Voltage On:0, No Motion Timer:13, Distance: 38, Max Voltage:0
000: ? 2017/01/06 18:37:22, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 4, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/06 18:41:52, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 4, MSN: 2, Max X:0, Max Y:-43, Max Z:0, Start Speed:31, End Speed:31, Timer:3790
000: ? 2017/01/06 18:42:06, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 4, MSN: 3, Max X:-25, Max Y:-2, Max Z:0, Start Speed:15, End Speed:6, Timer:825
000: ? 2017/01/06 18:42:50, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 4, MSN: 4, Max X:-30, Max Y:0, Max Z:0, Start Speed:39, End Speed:18, Timer:1196
000: ? 2017/01/06 18:47:44, (0x09)U2H.MANEUVER -  Turning (53), Strength:1, SSN: 4, MSN: 6, Max X:-4, Max Y:22, Max Z:0, Start Speed:21, End Speed:17, Timer:1895
000: ? 2017/01/06 18:48:51, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 4, MSN: 7, Valid GPS Samples:689, Max Y:0, Avg. Voltage On:0, No Motion Timer:35, Distance: 42, Max Voltage:0
---------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------
Report log for 07-01-2017 for Unit ID 705392
---------------------------------------------------------------------------------------------------------------
000: ? 2017/01/07 10:04:57, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 5, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/07 10:05:18, (0x09)U2H.MANEUVER -  Turning (55), Strength:1, SSN: 5, MSN: 2, Max X:2, Max Y:-23, Max Z:0, Start Speed:19, End Speed:22, Timer:2116
000: ? 2017/01/07 10:05:34, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 5, MSN: 3, Max X:-21, Max Y:0, Max Z:0, Start Speed:28, End Speed:2, Timer:3162
000: ? 2017/01/07 10:05:48, (0x09)U2H.MANEUVER -  Turning (55), Strength:1, SSN: 5, MSN: 4, Max X:5, Max Y:-26, Max Z:0, Start Speed:15, End Speed:17, Timer:1359
000: ? 2017/01/07 10:06:10, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 5, MSN: 5, Max X:-34, Max Y:10, Max Z:0, Start Speed:47, End Speed:41, Timer:5570
000: ? 2017/01/07 10:06:18, (0x09)U2H.MANEUVER -  Sudden brake in turn (50), Strength:1, SSN: 5, MSN: 6, Max X:-26, Max Y:16, Max Z:0, Start Speed:38, End Speed:23, Timer:2623
000: ? 2017/01/07 10:06:21, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 5, MSN: 7, Max X:3, Max Y:34, Max Z:0, Start Speed:23, End Speed:25, Timer:1269
000: ? 2017/01/07 10:07:38, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 5, MSN: 9, Max X:-21, Max Y:-4, Max Z:0, Start Speed:45, End Speed:21, Timer:1156
000: ? 2017/01/07 10:08:41, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 5, MSN: 10, Max X:9, Max Y:-43, Max Z:0, Start Speed:0, End Speed:20, Timer:7293
000: ? 2017/01/07 10:15:46, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 5, MSN: 11, Max X:-30, Max Y:0, Max Z:0, Start Speed:69, End Speed:21, Timer:8698
000: ? 2017/01/07 10:17:02, (0x09)U2H.MANEUVER -  Turning (53), Strength:1, SSN: 5, MSN: 12, Max X:-1, Max Y:21, Max Z:0, Start Speed:43, End Speed:39, Timer:7793
000: ? 2017/01/07 10:21:36, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 5, MSN: 13, Max X:-32, Max Y:0, Max Z:0, Start Speed:35, End Speed:0, Timer:15884
000: ? 2017/01/07 10:22:07, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 5, MSN: 14, Max X:1, Max Y:42, Max Z:0, Start Speed:23, End Speed:24, Timer:1879
000: ? 2017/01/07 10:22:28, (0x09)U2H.MANEUVER -  Turning (53), Strength:1, SSN: 5, MSN: 15, Max X:-4, Max Y:25, Max Z:0, Start Speed:35, End Speed:25, Timer:11316
000: ? 2017/01/07 10:22:34, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 5, MSN: 16, Max X:-27, Max Y:2, Max Z:0, Start Speed:21, End Speed:2, Timer:3229
000: ? 2017/01/07 10:23:43, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 5, MSN: 17, Valid GPS Samples:1069, Max Y:0, Avg. Voltage On:0, No Motion Timer:40, Distance: 190, Max Voltage:0
000: ? 2017/01/07 11:58:57, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 6, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/07 11:59:07, (0x09)U2H.MANEUVER -  Accelerate while in turn (41), Strength:1, SSN: 6, MSN: 2, Max X:20, Max Y:25, Max Z:0, Start Speed:21, End Speed:38, Timer:4345
000: ? 2017/01/07 11:59:39, (0x09)U2H.MANEUVER -  Accelerate while in turn (41), Strength:3, SSN: 6, MSN: 3, Max X:13, Max Y:43, Max Z:0, Start Speed:42, End Speed:50, Timer:8291
000: ? 2017/01/07 12:04:34, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 6, MSN: 4, Max X:-3, Max Y:36, Max Z:0, Start Speed:66, End Speed:55, Timer:12720
000: ? 2017/01/07 12:06:22, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 6, MSN: 6, Max X:-33, Max Y:4, Max Z:0, Start Speed:67, End Speed:49, Timer:2840
000: ? 2017/01/07 12:06:28, (0x09)U2H.MANEUVER -  Braking into turn (37), Strength:3, SSN: 6, MSN: 7, Max X:-20, Max Y:-47, Max Z:0, Start Speed:49, End Speed:29, Timer:3855
000: ? 2017/01/07 12:07:51, (0x09)U2H.MANEUVER -  Turning (53), Strength:1, SSN: 6, MSN: 9, Max X:-7, Max Y:33, Max Z:0, Start Speed:20, End Speed:15, Timer:1286
000: ? 2017/01/07 12:08:22, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 6, MSN: 10, Max X:-56, Max Y:-24, Max Z:0, Start Speed:29, End Speed:20, Timer:1680
000: ? 2017/01/07 12:09:26, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 6, MSN: 11, Max X:-8, Max Y:-38, Max Z:0, Start Speed:70, End Speed:63, Timer:4188
000: ? 2017/01/07 12:09:33, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 6, MSN: 12, Max X:-42, Max Y:0, Max Z:0, Start Speed:56, End Speed:33, Timer:3152
000: ? 2017/01/07 12:09:53, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 6, MSN: 13, Max X:-6, Max Y:-41, Max Z:0, Start Speed:28, End Speed:22, Timer:18105
000: ? 2017/01/07 12:09:55, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 6, MSN: 14, Max X:-2, Max Y:-66, Max Z:0, Start Speed:22, End Speed:22, Timer:1276
000: ? 2017/01/07 12:10:03, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 6, MSN: 15, Max X:1, Max Y:39, Max Z:0, Start Speed:23, End Speed:24, Timer:3322
000: ? 2017/01/07 12:11:01, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 6, MSN: 16, Valid GPS Samples:721, Max Y:0, Avg. Voltage On:0, No Motion Timer:15, Distance: 110, Max Voltage:0
000: ? 2017/01/07 14:15:36, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 7, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/07 14:16:16, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 7, MSN: 2, Max X:-36, Max Y:5, Max Z:0, Start Speed:21, End Speed:0, Timer:7694
000: ? 2017/01/07 14:16:34, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:3, SSN: 7, MSN: 3, Max X:50, Max Y:20, Max Z:0, Start Speed:2, End Speed:12, Timer:16211
000: ? 2017/01/07 14:16:54, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:1, SSN: 7, MSN: 4, Max X:28, Max Y:-8, Max Z:0, Start Speed:16, End Speed:33, Timer:7074
000: ? 2017/01/07 14:17:15, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 7, MSN: 5, Max X:-21, Max Y:-1, Max Z:0, Start Speed:40, End Speed:29, Timer:4780
000: ? 2017/01/07 14:17:49, (0x09)U2H.MANEUVER -  Braking into turn (37), Strength:1, SSN: 7, MSN: 6, Max X:-17, Max Y:-13, Max Z:0, Start Speed:24, End Speed:14, Timer:1835
000: ? 2017/01/07 14:17:53, (0x09)U2H.MANEUVER -  Sudden brake in turn (49), Strength:1, SSN: 7, MSN: 7, Max X:-18, Max Y:-27, Max Z:0, Start Speed:15, End Speed:8, Timer:1839
000: ? 2017/01/07 14:21:21, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 7, MSN: 8, Valid GPS Samples:343, Max Y:0, Avg. Voltage On:0, No Motion Timer:19, Distance: 12, Max Voltage:0
000: ? 2017/01/07 15:39:36, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 8, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/07 15:39:51, (0x09)U2H.MANEUVER -  Accelerate while in turn (43), Strength:3, SSN: 8, MSN: 2, Max X:13, Max Y:-42, Max Z:0, Start Speed:12, End Speed:14, Timer:4400
000: ? 2017/01/07 15:40:45, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 8, MSN: 4, Max X:-36, Max Y:-2, Max Z:0, Start Speed:49, End Speed:26, Timer:17821
000: ? 2017/01/07 15:41:27, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 8, MSN: 5, Max X:-29, Max Y:3, Max Z:0, Start Speed:70, End Speed:35, Timer:12956
000: ? 2017/01/07 15:41:47, (0x09)U2H.MANEUVER -  Collision Suspect (89), Strength:3, SSN: 8, MSN: 6, Max X:-101, Max Y:-14, Max Z:0, Start Speed:43, End Speed:16, Timer:5655
000: ? 2017/01/07 15:41:47, (0x09)U2H.MANEUVER -  Collision Suspect (89), Strength:3, SSN: 8, MSN: 6, Max X:-101, Max Y:-14, Max Z:0, Start Speed:43, End Speed:16, Timer:5655
000: ? 2017/01/07 15:43:06, (0x09)U2H.MANEUVER -  Accelerate while in turn (43), Strength:3, SSN: 8, MSN: 7, Max X:33, Max Y:-36, Max Z:0, Start Speed:13, End Speed:45, Timer:6373
000: ? 2017/01/07 15:44:30, (0x09)U2H.MANEUVER -  Accelerate while in turn (41), Strength:3, SSN: 8, MSN: 8, Max X:12, Max Y:42, Max Z:0, Start Speed:31, End Speed:40, Timer:4221
000: ? 2017/01/07 15:50:07, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 8, MSN: 9, Max X:-37, Max Y:8, Max Z:0, Start Speed:47, End Speed:9, Timer:2188
000: ? 2017/01/07 15:51:28, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:1, SSN: 8, MSN: 10, Max X:24, Max Y:-3, Max Z:0, Start Speed:19, End Speed:47, Timer:9057
000: ? 2017/01/07 15:55:04, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 8, MSN: 11, Max X:-29, Max Y:11, Max Z:0, Start Speed:92, End Speed:52, Timer:5512
000: ? 2017/01/07 15:55:37, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 8, MSN: 12, Max X:-22, Max Y:0, Max Z:0, Start Speed:70, End Speed:37, Timer:4128
000: ? 2017/01/07 15:59:29, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 8, MSN: 14, Max X:-29, Max Y:14, Max Z:0, Start Speed:108, End Speed:89, Timer:3451
000: ? 2017/01/07 16:04:16, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 8, MSN: 15, Max X:-37, Max Y:12, Max Z:0, Start Speed:88, End Speed:53, Timer:6555
000: ? 2017/01/07 16:04:21, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 8, MSN: 16, Max X:-1, Max Y:37, Max Z:0, Start Speed:53, End Speed:49, Timer:4958
000: ? 2017/01/07 16:04:30, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 8, MSN: 17, Max X:7, Max Y:45, Max Z:0, Start Speed:49, End Speed:61, Timer:6701
000: ? 2017/01/07 16:04:32, (0x09)U2H.MANEUVER -  Turning (53), Strength:1, SSN: 8, MSN: 18, Max X:3, Max Y:24, Max Z:0, Start Speed:61, End Speed:67, Timer:2020
000: ? 2017/01/07 16:06:10, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 8, MSN: 19, Max X:-25, Max Y:7, Max Z:0, Start Speed:94, End Speed:77, Timer:3757
000: ? 2017/01/07 16:06:54, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 8, MSN: 20, Max X:-31, Max Y:-1, Max Z:0, Start Speed:47, End Speed:14, Timer:3920
000: ? 2017/01/07 16:07:30, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 8, MSN: 21, Max X:-21, Max Y:0, Max Z:0, Start Speed:17, End Speed:3, Timer:3101
000: ? 2017/01/07 16:08:51, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 8, MSN: 22, Max X:-35, Max Y:0, Max Z:0, Start Speed:65, End Speed:18, Timer:2894
000: ? 2017/01/07 16:09:19, (0x09)U2H.MANEUVER -  Sudden brake in turn (50), Strength:3, SSN: 8, MSN: 23, Max X:-16, Max Y:39, Max Z:0, Start Speed:24, End Speed:19, Timer:2560
000: ? 2017/01/07 16:10:23, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 8, MSN: 24, Valid GPS Samples:1823, Max Y:0, Avg. Voltage On:0, No Motion Timer:39, Distance: 308, Max Voltage:0
---------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------
Report log for 08-01-2017 for Unit ID 705392
---------------------------------------------------------------------------------------------------------------
000: ? 2017/01/08 11:09:02, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 9, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/08 11:10:39, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 9, MSN: 2, Max X:-2, Max Y:39, Max Z:0, Start Speed:26, End Speed:25, Timer:2758
000: ? 2017/01/08 11:12:15, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 9, MSN: 3, Max X:-32, Max Y:3, Max Z:0, Start Speed:28, End Speed:0, Timer:7038
000: ? 2017/01/08 11:24:55, (0x09)U2H.MANEUVER -  Turning (53), Strength:1, SSN: 9, MSN: 4, Max X:0, Max Y:24, Max Z:0, Start Speed:113, End Speed:113, Timer:4905
000: ? 2017/01/08 11:30:35, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:1, SSN: 9, MSN: 5, Max X:21, Max Y:-9, Max Z:0, Start Speed:126, End Speed:139, Timer:2677
